city,newcity1,newcountry1
bairnsdale (victoria&#44 australia),bairnsdale,victoria44 australia
baiting h,baiting h,
baja (mexico),baja,mexico
baker,baker,
baker (20 mi. outside of),baker,20 mi outside of
baker (approx. 25 mi. s of),baker,approx 25 mi s of
baker city,baker city,
baker city (presumed location),baker city,presumed location
baker lake (rural wa),baker lake,
baker/edwards afb,bakeredwards afb,
baker/las vegas (between; 30 mi. ne of baker on i-5 east),bakerlas vegas,us
baker/stateline (between),bakerstateline,
bakersfield,bakersfield,
bakersfield (1 hour north of),bakersfield,
bakersfield (1-30&#44 north of),bakersfield,
bakersfield (40 miles north of),bakersfield,40 miles north of
bakersfield (80 miles north of),bakersfield,80 miles north of
bakersfield (i-5 north of),bakersfield,i5 north of
bakersfield (near i-5),bakersfield,near i5
bakersfield (near),bakersfield,near
bakersville,bakersville,
bakersville (roan mountain),bakersville,roan mountain
bakesrsfield,bakesrsfield,
baku (azerbaijan),baku,azerbaijan
balad (south south west of) (iraq),balad,iraq
balapur&#44 hyderabad (india),balapur44 hyderabad,india
balboa island,balboa island,
bald eagle lake,bald eagle lake,
bald knob,bald knob,
baldock (uk/england),baldock,uk
baldwin,baldwin,
baldwin city,baldwin city,
baldwin county,baldwin county,
baldwin park,baldwin park,
baldwinsville,baldwinsville,
baldy village,baldy village,
balerma (spain),balerma,spain
balgonie (qu apple valley) (canada),balgonie,canada
baling (malaysia),baling,malaysia
ball ground,ball ground,
ballarat (australia),ballarat,australia
ballard (seattle),ballard,seattle
ballater&#44 aberdeenshire (uk/scotland),ballater44 aberdeenshire,uk
ballderson (canada),ballderson,canada
ballentine,ballentine,
ballina (australia),ballina,australia
ballina (republic of ireland),ballina,ireland
ballinafad (canada),ballinafad,canada
ballinger,ballinger,
ballston lake,ballston lake,
ballston lake/malta,ballston lakemalta,
ballston spa,ballston spa,
ballwin,ballwin,
ballymoney (northern ireland),ballymoney,ireland
ballymoney&#44 antrim (uk/wales),ballymoney44 antrim,uk
balsam lake (canada),balsam lake,canada
baltic,baltic,
baltimore,baltimore,
baltimore (city line),baltimore,city line
baltimore (reisterstown road &amp; northern arkway),baltimore,reisterstown road amp northern arkway
baltimore bwi airport,baltimore bwi airport,
baltimore city,baltimore city,
baltimore county,baltimore county,
baltimore/windsor hills,baltimorewindsor hills,
balto city,balto city,
bamberg (germany),bamberg,germany
bamberg (germany/bavaria),bamberg,germany
bamfield (canada),bamfield,canada
banbridge (northern ireland),banbridge,ireland
banbury (near) (uk/england),banbury,near uk
banbury (uk/england),banbury,uk
bancroft,bancroft,
bancroft (canada),bancroft,canada
bancroft (northeast of),bancroft,
bancroft (rural area near),bancroft,rural area near
bandar seri begawan,bandar seri begawan,
bandar seri begawan (brunei),bandar seri begawan,brunei
bandera,bandera,
bandon,bandon,
banff (canada),banff,canada
banff national park (alberta&#44 canada),banff national park,canada
bangalore (india),bangalore,india
bangkok (thailand),bangkok,thailand
bangor,bangor,
bangor (uk/wales) (north wales),bangor,uk
bangor submarine base,bangor submarine base,
bangor submarine base (olympic penninsula),bangor submarine base,
bangs,bangs,
banja luka (bosnia),banja luka,bosnia
banks,banks,
banks (outside of),banks,outside of
banks lake,banks lake,
bankson lake/lawton,bankson lakelawton,
banner,banner,
banning,banning,
banos (ecuador),banos,ecuador
banska bystrica (slovakia),banska bystrica,slovakia
baqubah (iraq),baqubah,iraq
bar harbor,bar harbor,
bar harbor (bar island crossover),bar harbor,bar island crossover
baraboo,baraboo,
barahona (dominican republic),barahona,dominican republic
baranduda (australia),baranduda,australia
barbados,barbados,
barbers point nas,barbers point nas,
barberton,barberton,
barboursville,barboursville,
barboursville (area&#44 rural),barboursville,area44 rural
barbourville,barbourville,
barcelona (spain),barcelona,spain
barco,barco,
bardstown,bardstown,
barendracht (netherlands),barendracht,netherlands
bark river,bark river,
barker,barker,
barkhamsted,barkhamsted,
barksdale afb,barksdale afb,
barksdale air force base,barksdale air force base,
barletta (italy),barletta,italy
barnala sherpur (village) (india),barnala sherpur,india
barnard,barnard,
barnegat,barnegat,
barnegat light,barnegat light,
barnesville,barnesville,
barnet (uk/england),barnet,uk
barneveld,barneveld,
barnoldswick (uk/england),barnoldswick,uk
barnsdall,barnsdall,
barnsley (uk/england),barnsley,uk
barnstable,barnstable,
barnstaple (uk/england),barnstaple,uk
barnum,barnum,
barnwell,barnwell,
barocay island (philippines),barocay island,philippines
baroda,baroda,
barossa valley (australia),barossa valley,australia
barquisimeto (venezuela),barquisimeto,venezuela
barra da tijuca (rio de janeiro) (brazil),barra da tijuca,brazil
barra do tejuco (rio de janeiro) (brazil),barra do tejuco,brazil
barranquitas (puerto rico),barranquitas,puerto rico
barre,barre,
barrhaven (canada),barrhaven,canada
barrhead (canada),barrhead,canada
barrie (canada),barrie,canada
barrie (simcoe) (canada),barrie,simcoe canada
barriere (canada),barriere,canada
barrington,barrington,
barrington hills,barrington hills,
barron,barron,
barronvale,barronvale,
barrow-in-furness (uk/england),barrowinfurness,uk
barrow-in-furness&#44 cumbria (uk/england),barrowinfurness44 cumbria,uk
barry township,barry township,
barrys bay (canada),barrys bay,canada
barryton,barryton,
barstow,barstow,
barstow (aprox 35 mi west of&#44 mojave desert),barstow,aprox 35 mi west of44 mojave desert
barstow (near&#44 on i-15 n),barstow,
barstow (toward; south on hwy 40),barstow,toward south on hwy 40
barstow and needles (between),barstow and needles,
barstow-baker,barstowbaker,
bartlesville,bartlesville,
bartlett,bartlett,
bartlett/memphis,bartlettmemphis,
barto,barto,
barton,barton,
barton city,barton city,
barton hills,barton hills,
bartonsville,bartonsville,
bartonville,bartonville,
bartow,bartow,
bartow county (hwy 20; near wilderness camp rd.),bartow county,hwy 20 near wilderness camp rd
bartow/mulberry,bartowmulberry,
barvaux (belgium),barvaux,belgium
barview,barview,
basak gate lapu-lapu city&#44cebu (philippines),basak gate lapulapu city44cebu,philippines
basalt,basalt,
basel (switzerland),basel,switzerland
basingstoke (uk/england),basingstoke,uk
baskin,baskin,
basking ridge,basking ridge,
basking ridge (near),basking ridge,near
basom,basom,
basrah (iraq),basrah,iraq
bass harbor,bass harbor,
bass lake (near),bass lake,near
bass lake/culver,bass lakeculver,
bassett,bassett,
bassevelde (belgium),bassevelde,belgium
bastrop,bastrop,
bastrop county (rural area),bastrop county,rural area
basye,basye,
batangas (philippines),batangas,philippines
batavia,batavia,
batavia (near),batavia,near
batchewana bay (canada),batchewana bay,canada
batemans bay (nsw&#44 australia),batemans bay,nsw44 australia
bates city,bates city,
batesburg,batesburg,
batesville,batesville,
batesville (near lake santee),batesville,near lake santee
bath,bath,
bath (canada),bath,canada
bath (uk/england),bath,uk
bath county,bath county,
bathgate (uk/scotland),bathgate,uk
bathurst (australia),bathurst,australia
bathurst (canada),bathurst,canada
baton,baton,
baton rouge,baton rouge,
batroun (lebanon),batroun,
batsto,batsto,
battle creek,battle creek,
battle creek (three rivers event&#44 near event 1),battle creek,
battle ground,battle ground,
battle ground/vancouver,battle groundvancouver,
battle mountain,battle mountain,
battle mountain (54 miles from),battle mountain,54 miles from
battle mountain (south of; on hwy. 95),battle mountain,south of on hwy 95
battleground,battleground,
baumholder (germany),baumholder,germany
bauxite,bauxite,
bavaro (dominican republic),bavaro,dominican republic
baxter,baxter,
baxter springs,baxter springs,
bay area,bay area,
bay city,bay city,
bay d&#39espoir (canada),bay d39espoir,canada
bay harbor,bay harbor,
bay lake,bay lake,
bay mills township,bay mills township,
bay minette,bay minette,
bay point,bay point,
bay point park (radio marti),bay point park,
bay point/ pittsburg,bay point pittsburg,
bay saint louis,bay saint louis,
bay shore,bay shore,
bay st. louis,bay st louis,
bay village,bay village,
bayboro,bayboro,
bayfield,bayfield,
bayfield (canada),bayfield,canada
bayfield (lake superior&#39s apostle islands),bayfield,lake superior39s apostle islands
bayfield (near&#44 lake superior&#44 south shore),bayfield,near44 lake superior44 south shore
bayfield inlet (canada),bayfield inlet,canada
baylis,baylis,
bayone,bayone,
bayonne,bayonne,
bayport,bayport,
bayside,bayside,
baytown,baytown,
bayview,bayview,
bayview jetty,bayview jetty,
bayville,bayville,
beach city,beach city,
beach haven,beach haven,
beach haven park,beach haven park,
beach haven terrace (long beach island),beach haven terrace,long beach island
beach haven west,beach haven west,
beach lake,beach lake,
beach park,beach park,
beachwood,beachwood,
beacon,beacon,
beacon falls,beacon falls,
beacon falls/naugatuck,beacon fallsnaugatuck,
beacon rock state park,beacon rock state park,
beacon rock state park (skamania),beacon rock state park,skamania
beaconsfield (canada),beaconsfield,canada
beaconsfield (uk/england),beaconsfield,uk
beadle county (rural area),beadle county,
beale afb,beale afb,
beale afb (2 mi n of),beale afb,
beals,beals,
beamsville (canada),beamsville,canada
bean station,bean station,
bear,bear,
bear canyon lake,bear canyon lake,
bear creek,bear creek,
bear river/evanston,bear riverevanston,
bear valley,bear valley,
bear valley ski resort,bear valley ski resort,
beardstown,beardstown,
bearskin lake (canada),bearskin lake,canada
beatrice,beatrice,
beatrice (14 mi sw of),beatrice,
beatty,beatty,
beaufort,beaufort,
beaumont,beaumont,
beaumont (outside),beaumont,outside
beaumont/cherry valley,beaumontcherry valley,
beaumont/moreno valley,beaumontmoreno valley,
beaumont/sour lake,beaumontsour lake,
beautiful home community of monroe county,beautiful home community of monroe county,
beauval (canada),beauval,canada
beaver,beaver,
beaver (in outskirts of),beaver,in outskirts of
beaver creek,beaver creek,
beaver creek/alaska highway (canada),beaver creekalaska highway,canada
beaver crossing (approx. 15 miles from i-80 loop; near ),beaver crossing,
beaver dam,beaver dam,
beaver dam (canada),beaver dam,canada
beaver dam (rural),beaver dam,rural
beaver dam/oromocto (canada),beaver damoromocto,canada
beaver damm,beaver damm,
beaver falls,beaver falls,
beaver lake,beaver lake,
beaver meadows,beaver meadows,
beaverbank (canada),beaverbank,canada
beavercreek,beavercreek,
beaverdam,beaverdam,
beaverdam (canada),beaverdam,canada
beaverton,beaverton,
beaverton (canada),beaverton,canada
beaverton (northwest area),beaverton,northwest area
beaverton/tigard,beavertontigard,
beaverville,beaverville,
becej (serbia),becej,serbia
becker (approx. 5 miles w of&#44 on hwy 10 towards st. cloud),becker,
becket,becket,
beckeymeyer,beckeymeyer,
beckley,beckley,
beckville,beckville,
beckwourth,beckwourth,
bedford,bedford,
bedford (canada),bedford,canada
bedford (uk/england),bedford,uk
bedford county (stewertsville area),bedford county,stewertsville area
bedford heights,bedford heights,
bedford hills,bedford hills,
bedford park,bedford park,
bedford--mt. kisco,bedfordmt kisco,
bedford/carlise,bedfordcarlise,
bedlington (uk/england),bedlington,uk
bedminster,bedminster,
bee branch,bee branch,
bee cave,bee cave,
bee caves,bee caves,
beebe,beebe,
beech (at king&#39s hill) (uk/england),beech,uk
beech creek,beech creek,
beech grove,beech grove,
beech hill&#44 berkshire (uk/england),beech hill44 berkshire,uk
beecher,beecher,
beechnut/west loop south,beechnutwest loop south,
beekmantown,beekmantown,
beeton (canada),beeton,canada
beeville,beeville,
begues (catalonia&#44 spain),begues,spain
beijing (china),beijing,china
beirut (lebanon),beirut,
beirut&#44 tabariss (lebanon),beirut44 tabariss,
beja (portugal),beja,portugal
bekasi (indonesia),bekasi,indonesia
bel air,bel air,
bel marin keys,bel marin keys,
bel rose (mauritius),bel rose,
belair,belair,
belair  (south australia),belair,south australia
belbeis (egypt),belbeis,egypt
belcamp,belcamp,
belchertown,belchertown,
belcourt,belcourt,
belen,belen,
belfair,belfair,
belfair?,belfair,
belfast,belfast,
belfast (uk/n. ireland),belfast,uk
belfield,belfield,
belford,belford,
belfry,belfry,
belgaum (india),belgaum,india
belgium,belgium,
belgrade,belgrade,
belgrade (outside&#44 dry creekroad),belgrade,outside44 dry creekroad
belgreen,belgreen,
belington,belington,
belize (during cruise),belize,
bell,bell,
bell buckle,bell buckle,
bell gardens,bell gardens,
bella vista,bella vista,
bellaire,bellaire,
bellchester,bellchester,
belle,belle,
belle chasse,belle chasse,
belle fourche,belle fourche,
belle glade,belle glade,
belle harbor,belle harbor,
belle mead,belle mead,
belle plaine,belle plaine,
belle river,belle river,
belle river (canada),belle river,canada
belle vernon,belle vernon,
belle vernon (westward),belle vernon,westward
bellefontaine,bellefontaine,
bellefontaine (st. louis county),bellefontaine,st louis county
bellefonte,bellefonte,
bellemont,bellemont,
bellerose,bellerose,
belleview,belleview,
belleville,belleville,
belleville (3.5 sw of scott afb),belleville,35 sw of scott afb
belleville (canada),belleville,canada
belleville (near) (canada),belleville,near canada
belleville community college,belleville community college,
bellevue,bellevue,
bellevue (capehart),bellevue,capehart
bellevue (east of),bellevue,east of
bellevue (north of),bellevue,north of
bellevue (yarrow point),bellevue,yarrow point
bellevue/issaquah,bellevueissaquah,
bellevue/kirkland,bellevuekirkland,
bellevue/mercer island (between&#44 westbound on i-90),bellevuemercer island,
bellevue/redmond,bellevueredmond,
bellflower,bellflower,
bellignham,bellignham,
bellingham,bellingham,
bellingham (sudden valley),bellingham,sudden valley
bellingham-lummi,bellinghamlummi,
bellis (canada),bellis,canada
bellmar,bellmar,
bellmere (australia),bellmere,australia
bellmont,bellmont,
bellmore,bellmore,
bellows falls,bellows falls,
bellport,bellport,
bells,bells,
bellside/wishaw (uk/scotland),bellsidewishaw,uk
bellville,bellville,
bellville (canada),bellville,canada
bellvue,bellvue,
belmar,belmar,
belmar and wall twp.,belmar and wall twp,
belmont,belmont,
belmont (australia),belmont,australia
